diameter,weight,hexcode,fruit
6.69,126.08,#876014,orange
10.49,182.44,#A44510,orange
9.21,163.83,#905904,orange
12.16,207.84,#943C1C,grapefruit
10.15,176.59,#8D4011,grapefruit
8.57,153.7,#8B4E0B,orange
9.62,167.83,#79411F,grapefruit
14.2,240.36,#874216,grapefruit
11.82,203.06,#9F3D07,grapefruit
8.91,159.33,#835602,orange
11.71,201.54,#903402,grapefruit
11.24,194.23,#975602,grapefruit
10.26,178.13,#93430E,grapefruit
6.65,125.64,#9A4712,orange
9.25,164.44,#A95602,orange
9.56,169.51,#9E4C02,orange
11.43,197.13,#9B2D1F,grapefruit
9.63,170.51,#985102,orange
10.33,178.99,#873C0F,grapefruit
10.25,178.1,#95450E,grapefruit
12.93,219.63,#9B4C06,grapefruit
12.22,208.63,#9A380E,grapefruit
10.7,184.93,#A14510,grapefruit
11.56,199.23,#903516,grapefruit
9.13,162.74,#A44917,orange
11.31,195.35,#8E2F0E,grapefruit
11.06,190.33,#B14702,orange
12.71,216.53,#983907,grapefruit
10.11,175.84,#874517,grapefruit
12.79,217.75,#934711,grapefruit
9.97,175.72,#9E5A0D,orange
7.88,143.78,#954F02,orange
8.74,156.55,#A3430B,orange
9.33,165.76,#9C5102,orange
11.45,197.38,#95470E,grapefruit
8.16,148.02,#A06307,orange
11.77,202.47,#9B2F03,grapefruit
6.16,118.82,#A04F11,orange
12.11,207.29,#924E1B,grapefruit
12.18,208.03,#983D0A,grapefruit
6.9,129.75,#955005,orange
9.29,165.24,#A15802,orange
11.11,191.93,#8F490B,grapefruit
12.73,216.85,#874A0C,grapefruit
12.4,211.21,#994215,grapefruit
11.6,199.72,#834206,grapefruit
10.89,188.56,#954610,grapefruit
8.49,152.86,#A04502,orange
9.83,171.97,#A34F0B,grapefruit
9.47,165.37,#8D5311,grapefruit
10.96,189.54,#97341E,grapefruit
8.1,147.14,#A04C02,orange
9.7,169.65,#984B08,grapefruit
10.63,184.01,#A54A02,orange
11.46,197.67,#8A5403,grapefruit
10.67,184.7,#A25002,orange
9.02,160.99,#A55E0A,orange
9.66,171.15,#954D02,orange
10.04,176.54,#BA5502,orange
11.01,190.34,#87410C,grapefruit
10.99,189.98,#99420A,grapefruit
11.55,198.87,#8D440E,grapefruit
11.11,191.98,#8A430F,grapefruit
13.17,223.52,#8C4216,grapefruit
10.49,182.38,#AB5202,orange
8.08,146.75,#9A5602,orange
12.42,211.55,#984906,grapefruit
12.08,206.74,#995513,grapefruit
11.18,193.08,#984709,grapefruit
9.84,173.77,#954F02,orange
10.16,177.9,#A86102,orange
8.44,152.22,#934B08,orange
10.29,178.55,#893D10,grapefruit
7.81,142.42,#A46302,orange
10.1,175.68,#86410E,grapefruit
13.22,224.32,#96460D,grapefruit
11.67,200.61,#9A3F04,grapefruit
10.34,179.22,#8C4404,grapefruit
11.3,192.49,#A05A02,orange
11.15,192.58,#8F4706,grapefruit
9.25,164.45,#8C3F02,orange
8.26,149.36,#974702,orange
13.08,221.86,#AC5216,grapefruit
12.17,208.0,#8A3B09,grapefruit
9.63,170.45,#995402,orange
9.93,175.05,#954A02,orange
11.52,198.54,#AB4A11,grapefruit
11.6,199.71,#9E4013,grapefruit
8.63,154.68,#AA4D03,orange
7.19,133.9,#924604,orange
10.79,186.48,#965A0D,grapefruit
11.49,198.03,#952425,grapefruit
8.85,158.28,#A35F11,orange
9.28,162.0,#904B0F,grapefruit
9.0,160.62,#843E14,orange
8.72,156.27,#874602,orange
7.39,136.3,#AA4B18,orange
5.66,111.88,#A35603,orange
10.69,184.81,#995817,grapefruit
12.0,205.56,#934D13,grapefruit
13.07,221.65,#A14112,grapefruit
11.07,191.32,#A83C21,grapefruit
8.69,155.63,#AB5002,orange
8.43,152.04,#A63703,orange
9.44,167.4,#A35108,orange
14.5,242.85,#892612,grapefruit
9.68,171.24,#936202,orange
8.79,157.36,#9F590D,orange
8.57,153.71,#905202,orange
10.7,184.99,#974702,grapefruit
9.71,169.8,#97380F,grapefruit
7.47,137.81,#984A02,orange
8.63,154.73,#A7580B,orange
12.01,206.84,#8C6102,orange
9.87,172.37,#A6490C,grapefruit
7.72,141.04,#904B03,orange
8.07,146.73,#9E5102,orange
11.08,191.52,#943A14,grapefruit
7.87,143.69,#9D5B02,orange
8.8,157.53,#A25102,orange
9.59,167.44,#854918,grapefruit
10.41,181.66,#A95E02,orange
6.71,126.55,#934913,orange
11.37,196.41,#934F15,grapefruit
11.42,196.97,#9A4010,grapefruit
10.63,183.73,#944023,grapefruit
8.01,145.79,#9A4F02,orange
9.18,163.56,#995102,orange
11.31,195.4,#974714,grapefruit
9.67,169.31,#A44E17,grapefruit
6.56,123.79,#9E4A08,orange
8.51,152.99,#956107,orange
12.91,219.43,#8B4502,grapefruit
10.4,180.14,#8F401D,grapefruit
9.88,172.54,#9A470B,grapefruit
11.58,199.29,#854019,grapefruit
5.63,111.53,#A14A02,orange
11.58,199.38,#90410B,grapefruit
5.43,108.54,#9D6202,orange
7.51,138.21,#914D12,orange
11.88,203.9,#916102,grapefruit
11.34,195.71,#9E4D0F,grapefruit
9.7,171.81,#A55002,orange
12.74,216.9,#954D10,grapefruit
10.11,175.95,#925607,grapefruit
12.66,215.63,#983C02,grapefruit
12.28,209.55,#92460B,grapefruit
6.59,124.42,#A0540D,orange
8.8,157.48,#906107,orange
9.32,165.7,#A05702,orange
8.84,158.17,#935702,orange
8.46,152.43,#8B4B07,orange
8.5,152.87,#AA5802,orange
10.18,177.08,#943C0F,grapefruit
8.45,152.25,#946302,orange
6.8,127.64,#8D511C,orange
9.97,175.74,#8B5805,orange
14.2,240.44,#964C06,grapefruit
8.21,148.71,#985B05,orange
11.31,195.45,#8D411B,grapefruit
8.4,151.54,#9C4802,orange
11.67,200.75,#A53F02,grapefruit
12.15,207.84,#A14617,grapefruit
10.27,178.36,#A03A02,grapefruit
10.45,181.12,#9C4316,grapefruit
12.38,210.98,#9B4613,grapefruit
11.68,200.93,#914302,grapefruit
11.46,197.55,#9D4E23,grapefruit
8.48,152.73,#9C500A,orange
8.64,154.96,#995802,orange
9.58,169.8,#914F04,orange
13.23,224.38,#A34D03,grapefruit
11.76,202.42,#92421C,grapefruit
10.99,190.05,#9A5212,grapefruit
7.44,137.18,#8C5802,orange
8.63,154.65,#A85102,orange
9.46,167.91,#A95C03,orange
11.02,190.54,#AF5617,grapefruit
9.69,171.47,#9D4002,orange
12.01,205.7,#9A420A,grapefruit
11.25,194.44,#8E4311,grapefruit
10.02,176.31,#A05A0E,orange
8.81,157.71,#984513,orange
14.88,249.58,#9F430B,grapefruit
7.62,139.82,#A36307,orange
12.0,205.52,#9C4707,grapefruit
9.02,161.03,#9B4D0D,orange
9.58,169.85,#9F5902,orange
10.97,189.72,#9C4F02,grapefruit
12.69,216.09,#993D0F,grapefruit
12.08,206.75,#9F4E22,grapefruit
8.42,151.75,#9F5C02,orange
6.41,121.94,#B43A18,orange
12.73,216.74,#975A02,grapefruit
12.43,211.68,#962902,grapefruit
11.15,192.63,#994813,grapefruit
11.67,200.63,#9B3A19,grapefruit
11.9,204.29,#8F440D,grapefruit
11.66,200.49,#8C4106,grapefruit
8.62,154.55,#9B6013,orange
8.11,147.36,#9D4F12,orange
11.67,200.82,#8E5202,grapefruit
11.36,196.29,#864E02,grapefruit
11.17,191.75,#B5460A,orange
7.84,143.05,#985802,orange
10.91,188.78,#8E491B,grapefruit
9.47,168.1,#A44906,orange
11.92,204.73,#974C10,grapefruit
9.05,161.42,#914709,orange
8.39,151.27,#A46302,orange
8.08,146.8,#A16305,orange
9.99,174.24,#A43F02,grapefruit
9.18,163.55,#995402,orange
13.18,223.61,#904B12,grapefruit
6.84,128.33,#8B5802,orange
10.76,186.01,#954E16,grapefruit
8.71,156.04,#915A0A,orange
6.14,118.27,#975102,orange
9.19,163.76,#9F4706,orange
8.01,145.74,#8B4002,orange
13.32,225.78,#9F440E,grapefruit
9.51,168.6,#9C5414,orange
6.41,121.95,#A85602,orange
12.0,205.46,#9B2E03,grapefruit
14.59,243.93,#924E17,grapefruit
10.33,179.01,#8A4018,grapefruit
8.65,155.1,#AA4B10,orange
9.44,167.55,#A45B1A,orange
9.63,170.54,#A95205,orange
10.0,174.44,#7F4B11,grapefruit
9.18,160.55,#A5430A,grapefruit
7.88,143.82,#9B6311,orange
10.75,185.44,#A7500A,orange
8.79,157.35,#A25702,orange
11.6,199.74,#9A4C14,grapefruit
11.99,205.41,#8E4509,grapefruit
8.21,148.61,#B04F12,orange
12.83,218.28,#8C400D,grapefruit
8.68,150.63,#A8460D,grapefruit
10.58,182.89,#9C4615,grapefruit
7.79,142.08,#A63B02,orange
9.22,163.94,#AD5202,orange
8.15,147.99,#975F02,orange
9.1,162.36,#A24502,orange
13.5,228.82,#A04B10,grapefruit
13.1,222.35,#A0340D,grapefruit
11.38,196.55,#954302,grapefruit
9.29,165.27,#975102,orange
10.79,186.67,#994310,grapefruit
10.38,179.94,#964317,grapefruit
6.03,116.4,#975B02,orange
8.49,152.8,#9E5302,orange
11.01,190.29,#833E02,grapefruit
9.04,161.32,#A25B0C,orange
7.52,138.37,#884C06,orange
9.35,163.57,#8A5A0C,grapefruit
7.38,136.22,#976309,orange
9.71,171.9,#984F02,orange
9.06,157.49,#924404,grapefruit
12.48,212.81,#8D3F0A,grapefruit
8.98,160.38,#836405,orange
10.73,185.32,#7E4424,grapefruit
11.56,199.12,#9B4920,grapefruit
7.81,142.46,#9C4A06,orange
10.7,184.85,#A4490E,grapefruit
10.5,181.81,#A54304,grapefruit
12.18,208.17,#8D3811,grapefruit
9.35,166.04,#A16502,orange
13.07,221.62,#8A5125,grapefruit
10.05,175.11,#9E390C,grapefruit
8.9,154.88,#974407,grapefruit
8.97,160.29,#9A5003,orange
13.48,228.6,#9B420C,grapefruit
8.43,151.96,#9C520D,orange
13.24,224.56,#9E3D17,grapefruit
6.52,123.32,#A44C06,orange
11.64,200.12,#905618,grapefruit
13.54,229.54,#873F14,grapefruit
10.76,185.74,#914012,grapefruit
7.93,144.5,#A75307,orange
10.99,190.02,#87360A,grapefruit
9.65,170.97,#AE6705,orange
10.05,176.6,#9F4E02,orange
6.99,131.28,#A05103,orange
14.28,240.97,#8B3D05,grapefruit
14.2,240.37,#8C4017,grapefruit
10.97,189.79,#914208,grapefruit
7.98,145.38,#9B4C02,orange
13.62,230.85,#8A4002,grapefruit
9.4,166.91,#AB600E,orange
13.56,229.58,#973502,grapefruit
8.93,159.76,#A44F06,orange
11.58,197.68,#A05107,orange
12.53,213.44,#9B3702,grapefruit
14.51,242.96,#935513,grapefruit
10.76,186.08,#984F09,grapefruit
10.28,179.44,#A44F06,orange
8.69,155.68,#A45F02,orange
7.9,144.18,#A64D02,orange
11.46,197.69,#8C3D0D,grapefruit
13.16,223.33,#934506,grapefruit
10.53,182.27,#93390E,grapefruit
11.11,192.02,#9F5111,grapefruit
8.38,151.1,#9F5502,orange
10.39,180.03,#92330C,grapefruit
11.03,190.74,#9A4915,grapefruit
9.79,173.24,#A24712,orange
10.09,175.63,#9D4E0C,grapefruit
10.79,186.57,#904509,grapefruit
9.3,165.46,#9D5D16,orange
7.42,136.63,#965402,orange
8.66,155.25,#A1540B,orange
8.58,153.88,#A54806,orange
7.59,139.3,#9F5602,orange
10.03,176.45,#954902,orange
12.54,213.58,#9B3D0A,grapefruit
11.4,196.72,#964612,grapefruit
9.48,168.27,#A85C0D,orange
12.71,216.36,#A54408,grapefruit
5.86,115.03,#8A4609,orange
10.04,174.99,#94431B,grapefruit
10.78,186.42,#9D5115,grapefruit
7.31,135.4,#905102,orange
10.91,188.8,#A6410C,grapefruit
13.99,237.05,#975A02,grapefruit
8.81,157.64,#895A17,orange
8.46,152.54,#8C6B0A,orange
8.03,145.96,#A8690F,orange
9.7,171.79,#9D5903,orange
11.69,201.11,#8C4B08,grapefruit
9.32,162.92,#A13A23,grapefruit
6.76,127.16,#A56108,orange
7.3,135.25,#9B6209,orange
9.07,157.74,#A64D0A,grapefruit
11.55,199.02,#9B3315,grapefruit
9.17,163.42,#AA4307,orange
11.93,204.76,#A43402,grapefruit
6.61,124.98,#9A4F08,orange
11.11,191.97,#9D4822,grapefruit
6.24,120.04,#8A5104,orange
11.32,193.1,#AA5102,orange
8.1,147.08,#9A4A05,orange
8.93,159.66,#915109,orange
11.44,197.26,#9B3E07,grapefruit
9.81,171.52,#8E3502,grapefruit
8.29,149.64,#94460A,orange
10.13,176.22,#954F02,grapefruit
9.97,175.77,#9F4E02,orange
9.62,167.8,#8F4A1F,grapefruit
8.27,149.44,#944302,orange
8.38,150.95,#A1600A,orange
9.47,168.02,#906304,orange
9.08,161.88,#9A470C,orange
8.4,151.4,#9B4B02,orange
8.17,148.15,#974910,orange
9.32,165.71,#AC4206,orange
14.32,241.77,#9D4810,grapefruit
9.62,170.31,#964F02,orange
12.14,207.5,#905D0C,grapefruit
12.35,210.64,#813C15,grapefruit
7.53,138.6,#995707,orange
8.71,155.96,#9E5B08,orange
11.27,194.72,#914B1B,grapefruit
13.87,235.22,#905008,grapefruit
10.19,177.27,#873E06,grapefruit
6.5,123.13,#96510E,orange
12.15,207.69,#954308,grapefruit
11.76,202.32,#973D0B,grapefruit
11.37,196.29,#8F3F05,grapefruit
12.25,209.31,#905811,grapefruit
9.52,168.67,#9E4002,orange
7.65,140.2,#B05509,orange
9.19,163.69,#A14A0C,orange
9.32,162.95,#9B4C02,grapefruit
8.81,153.14,#904516,grapefruit
11.53,196.54,#943C02,orange
8.51,153.08,#A25302,orange
10.12,175.99,#985808,grapefruit
7.6,139.44,#955202,orange
6.91,130.13,#91580C,orange
10.97,189.59,#A04114,grapefruit
8.88,158.82,#B05009,orange
13.15,223.04,#945E02,grapefruit
8.79,157.35,#954E11,orange
13.39,227.28,#9F4F0E,grapefruit
11.67,200.62,#8D3B02,grapefruit
12.21,208.5,#844E02,grapefruit
12.8,217.97,#9F4511,grapefruit
13.85,234.73,#8B4521,grapefruit
9.31,162.56,#964E0E,grapefruit
7.78,141.99,#944B08,orange
10.3,178.76,#974311,grapefruit
12.22,208.58,#A24D0A,grapefruit
14.04,237.67,#A74010,grapefruit
8.25,149.29,#AB6102,orange
9.44,167.53,#A94802,orange
6.98,131.11,#91420F,orange
7.4,136.45,#9C5E02,orange
13.98,236.46,#93380E,grapefruit
11.13,192.28,#864E0E,grapefruit
8.0,145.59,#A74A10,orange
8.24,145.52,#8E540A,grapefruit
8.07,146.56,#9A4902,orange
11.88,203.92,#A54610,grapefruit
12.54,213.54,#A1530F,grapefruit
9.86,173.99,#9A5902,orange
10.34,179.22,#9F4B15,grapefruit
6.64,125.42,#A1530D,orange
13.11,222.44,#9D3D0C,grapefruit
9.91,174.97,#A2650A,orange
7.63,139.93,#9D4C10,orange
9.27,164.93,#9B4F04,orange
12.33,210.29,#98420D,grapefruit
11.2,193.55,#A63D1C,grapefruit
9.31,165.63,#924B08,orange
9.21,163.85,#A25903,orange
8.92,159.57,#9C5402,orange
8.11,147.22,#915302,orange
12.27,209.51,#9E450E,grapefruit
9.3,165.38,#B65602,orange
8.9,159.06,#915F02,orange
7.81,142.59,#A55E02,orange
11.37,196.36,#914A03,grapefruit
8.87,158.7,#A44E02,orange
11.29,192.34,#995106,orange
7.02,131.86,#A05D0B,orange
12.98,220.66,#9A540A,grapefruit
10.17,176.81,#9D5202,grapefruit
10.32,178.93,#933B04,grapefruit
8.33,150.3,#AA4B07,orange
8.89,154.44,#B44811,grapefruit
8.89,158.93,#99480C,orange
11.09,190.67,#B05A02,orange
11.53,198.61,#984A18,grapefruit
9.37,166.32,#A34A02,orange
11.19,193.22,#834A0F,grapefruit
12.09,206.98,#945C12,grapefruit
10.52,182.74,#A75406,orange
8.14,147.81,#A56D02,orange
10.75,185.61,#8E4411,grapefruit
7.49,138.0,#9B6602,orange
9.03,161.13,#946102,orange
12.84,218.4,#994215,grapefruit
6.16,118.48,#B0570F,orange
13.15,223.2,#994819,grapefruit
9.05,161.45,#9E5D0F,orange
7.75,141.36,#973E08,orange
6.85,128.52,#9B5107,orange
7.91,144.25,#A45302,orange
8.37,150.94,#9A4C06,orange
13.81,234.15,#A34311,grapefruit
9.49,168.44,#A7510A,orange
11.13,192.41,#864B14,grapefruit
6.62,125.08,#97460B,orange
8.65,155.12,#9E5604,orange
14.71,245.66,#A34516,grapefruit
10.78,186.39,#A24A15,grapefruit
6.99,131.22,#8D5C0C,orange
10.09,177.15,#A24D02,orange
8.79,157.34,#934F14,orange
7.26,134.7,#A05E08,orange
7.17,133.68,#A94502,orange
12.61,215.0,#9F420D,grapefruit
13.19,223.75,#9E3D21,grapefruit
10.23,178.87,#9F4806,orange
11.76,202.32,#99431D,grapefruit
12.56,213.95,#A24F0E,grapefruit
5.02,104.1,#B34902,orange
10.66,184.22,#963C11,grapefruit
10.94,188.47,#924708,orange
8.4,151.34,#A65702,orange
8.91,159.31,#93630C,orange
6.7,126.51,#AB510D,orange
10.52,182.16,#935E15,grapefruit
7.52,138.46,#9A570C,orange
11.94,204.88,#8C3E17,grapefruit
7.14,133.29,#8C4309,orange
10.41,181.61,#984C10,orange
8.52,153.21,#A75402,orange
7.33,135.78,#915202,orange
6.87,128.89,#875707,orange
6.84,128.31,#845106,orange
7.37,136.08,#9A5E06,orange
11.51,198.37,#8C4017,grapefruit
8.39,151.11,#9D5E11,orange
13.29,225.25,#954B0E,grapefruit
10.96,189.53,#9E3E16,grapefruit
9.5,168.44,#8F4F02,orange
8.06,146.43,#9C5302,orange
8.63,154.63,#9D5302,orange
5.67,112.1,#965506,orange
12.37,210.85,#9A4D18,grapefruit
9.63,170.61,#8C4802,orange
12.4,211.42,#904710,grapefruit
10.42,180.61,#963E11,grapefruit
12.39,211.07,#8A331B,grapefruit
8.0,145.53,#A85102,orange
8.81,157.72,#955305,orange
7.78,142.01,#994602,orange
9.83,171.73,#9E4802,grapefruit
10.64,183.89,#934E13,grapefruit
8.63,154.69,#9E5002,orange
11.01,190.44,#8E520C,grapefruit
13.97,236.29,#8D390B,grapefruit
9.23,164.2,#A55E12,orange
10.64,183.97,#9A4209,grapefruit
10.95,189.33,#A14414,grapefruit
11.27,194.77,#894D07,grapefruit
11.95,204.94,#9B4F12,grapefruit
11.19,193.13,#8F5618,grapefruit
12.03,206.12,#8B4309,grapefruit
6.95,130.9,#9D5504,orange
10.75,185.65,#9E3509,grapefruit
13.13,222.81,#943E15,grapefruit
6.9,129.81,#A95702,orange
12.44,211.93,#88520B,grapefruit
11.16,191.24,#913A15,orange
10.43,181.79,#A8560F,orange
7.56,138.89,#A84B02,orange
5.98,115.94,#A35602,orange
7.71,140.89,#92490C,orange
12.11,207.17,#874108,grapefruit
9.51,168.56,#A73B02,orange
7.99,145.49,#944F02,orange
12.89,219.12,#9A520E,grapefruit
4.42,95.17,#9C5102,orange
7.5,138.14,#945302,orange
11.59,199.53,#A34B1D,grapefruit
11.02,189.63,#8D4702,orange
11.51,196.15,#8F4E0F,orange
10.25,179.09,#A56602,orange
8.73,156.35,#8B5302,orange
8.03,145.99,#99480E,orange
11.71,201.51,#A5480C,grapefruit
10.09,177.14,#985411,orange
8.88,158.81,#946102,orange
11.65,200.3,#993E0C,grapefruit
9.06,161.67,#9A5A0E,orange
7.49,137.99,#A84502,orange
12.99,220.87,#8F5B15,grapefruit
9.2,163.78,#975209,orange
7.19,133.9,#9D4F08,orange
7.03,131.93,#9F5903,orange
8.55,153.49,#A34602,orange
11.59,199.41,#9F4A20,grapefruit
11.52,198.55,#A74918,grapefruit
7.72,140.98,#A2540A,orange
12.87,218.68,#874A1A,grapefruit
7.91,144.37,#B05202,orange
12.96,220.37,#98571F,grapefruit
9.93,175.33,#A05602,orange
12.34,210.47,#984002,grapefruit
12.37,210.82,#864012,grapefruit
9.02,156.16,#914B11,grapefruit
12.3,209.91,#A33608,grapefruit
7.54,138.72,#915207,orange
12.75,217.07,#93530A,grapefruit
10.95,189.4,#963810,grapefruit
9.77,172.68,#A9440E,orange
13.1,222.29,#914711,grapefruit
10.98,189.93,#974919,grapefruit
7.96,144.82,#A05D02,orange
7.81,142.53,#A85804,orange
12.3,209.93,#914809,grapefruit
13.0,220.9,#924319,grapefruit
11.95,204.95,#8C5426,grapefruit
10.66,184.35,#994C04,grapefruit
6.88,129.38,#955B02,orange
11.13,192.37,#934A15,grapefruit
12.87,218.67,#954F21,grapefruit
12.53,213.5,#8E4605,grapefruit
7.07,132.53,#A94302,orange
13.26,224.71,#A04910,grapefruit
9.66,171.09,#A45902,orange
7.74,141.24,#A54D13,orange
7.97,145.06,#974603,orange
12.36,210.7,#854A02,grapefruit
12.96,220.33,#934C2A,grapefruit
11.5,198.26,#903F1B,grapefruit
13.87,235.0,#915A0D,grapefruit
9.31,165.59,#976018,orange
7.7,140.74,#A35103,orange
12.42,211.58,#A34504,grapefruit
11.37,196.41,#933B10,grapefruit
12.29,209.76,#924D20,grapefruit
9.46,167.96,#A24E15,orange
8.7,155.79,#97530A,orange
10.99,190.04,#9A4615,grapefruit
11.9,204.16,#894E10,grapefruit
10.11,175.84,#974516,grapefruit
12.02,205.85,#9D550F,grapefruit
7.36,136.04,#975803,orange
12.11,207.24,#894E0B,grapefruit
7.9,144.07,#9C4E02,orange
12.97,220.38,#943B0D,grapefruit
10.35,179.42,#92480C,grapefruit
12.41,211.52,#954E20,grapefruit
12.07,206.59,#983F11,grapefruit
10.7,184.93,#91411C,grapefruit
10.89,188.57,#973B1B,grapefruit
8.01,145.71,#AA4006,orange
10.19,177.24,#9B3B02,grapefruit
9.63,170.51,#AE530C,orange
11.42,196.96,#9E4A11,grapefruit
11.9,205.54,#AC4711,orange
10.54,182.91,#A24602,orange
10.3,179.72,#9E4C02,orange
7.41,136.5,#984502,orange
13.13,222.7,#993F0F,grapefruit
9.06,161.62,#9D5A02,orange
10.07,175.29,#915604,grapefruit
6.93,130.45,#AA4C09,orange
9.93,173.36,#9B5610,grapefruit
11.2,193.5,#9C3B1C,grapefruit
9.97,174.02,#855E04,grapefruit
10.17,176.91,#A94109,grapefruit
9.01,160.79,#AA5004,orange
9.97,175.75,#AB4D02,orange
12.54,213.59,#8D3A02,grapefruit
6.05,116.93,#9C5902,orange
5.53,110.42,#965702,orange
11.14,192.54,#993E0F,grapefruit
10.61,183.39,#8C520F,grapefruit
8.73,156.36,#935A02,orange
8.07,146.58,#965B02,orange
10.59,183.05,#B6451E,grapefruit
6.4,121.76,#B95008,orange
11.24,194.19,#964002,grapefruit
8.78,152.42,#99470A,grapefruit
6.96,130.96,#974F02,orange
11.24,192.11,#A35402,orange
9.99,176.1,#9F5C03,orange
10.53,182.17,#964C07,grapefruit
12.68,215.94,#9C4E11,grapefruit
11.54,198.81,#96480D,grapefruit
9.41,167.02,#B24706,orange
9.95,173.73,#B13622,grapefruit
6.37,121.51,#975702,orange
6.99,131.25,#98640C,orange
8.42,151.88,#A34D02,orange
9.63,168.17,#8C3D07,grapefruit
8.64,154.84,#AC5002,orange
12.66,215.74,#7E490F,grapefruit
13.11,222.42,#A6350E,grapefruit
9.88,174.13,#9B5609,orange
7.33,135.8,#955308,orange
8.34,150.42,#994E02,orange
7.74,141.28,#9A4D03,orange
9.12,162.57,#845302,orange
8.81,157.61,#AA4D04,orange
10.04,174.92,#963C06,grapefruit
9.36,166.06,#AB5904,orange
9.42,167.25,#96580D,orange
6.41,122.03,#A05B02,orange
11.66,200.55,#99460D,grapefruit
12.34,210.48,#9B451A,grapefruit
7.81,142.39,#A55803,orange
12.81,218.03,#945902,grapefruit
12.04,207.91,#A44A02,orange
10.2,177.55,#8E4602,grapefruit
8.64,154.76,#9B550E,orange
9.58,169.81,#AB5502,orange
6.17,119.12,#905902,orange
8.8,157.43,#9C5407,orange
12.41,211.52,#8B4A14,grapefruit
11.58,197.58,#AB5102,orange
9.37,166.27,#A34710,orange
8.66,155.2,#944D02,orange
10.92,188.89,#824A02,grapefruit
10.54,182.31,#914210,grapefruit
10.53,182.29,#993B11,grapefruit
10.42,181.72,#994D02,orange
8.27,149.49,#92470C,orange
10.83,187.41,#9D5516,grapefruit
8.59,154.02,#9D4205,orange
10.86,187.89,#9A481A,grapefruit
14.93,251.41,#8A4B14,grapefruit
7.45,137.38,#904902,orange
9.75,170.58,#9E4D04,grapefruit
12.21,208.42,#973B1F,grapefruit
7.11,133.05,#8D5B10,orange
9.67,171.16,#954704,orange
9.54,169.23,#AF4602,orange
9.51,165.89,#8D440B,grapefruit
5.24,105.62,#9D550F,orange
13.2,223.77,#81421D,grapefruit
12.26,209.37,#9B3F15,grapefruit
7.46,137.71,#A64902,orange
11.83,203.26,#8F3D11,grapefruit
8.88,158.74,#AE4D0B,orange
10.19,177.32,#994106,grapefruit
10.67,184.69,#946702,orange
7.29,135.08,#A7490E,orange
6.55,123.73,#A35C02,orange
11.29,194.98,#8A3A10,grapefruit
13.92,235.95,#A75307,grapefruit
8.24,149.07,#A15C03,orange
10.56,183.07,#B45404,orange
11.91,204.47,#95471C,grapefruit
9.6,169.98,#9F5A02,orange
7.03,131.99,#A13409,orange
11.64,200.17,#984A07,grapefruit
11.24,194.3,#873B0D,grapefruit
